start,end,label,probability
2004-01-01 14:30:00.000,2004-01-01 16:03:00.000,LFE_sm,0.70205426
2004-01-02 05:06:00.000,2004-01-02 10:42:00.000,LFE,0.90711105
2004-01-02 21:42:00.000,2004-01-03 03:03:00.000,LFE,0.914101
2004-01-03 23:39:00.000,2004-01-04 01:18:00.000,LFE,0.88659364
2004-01-04 01:39:00.000,2004-01-04 08:09:00.000,LFE,0.89883775
2004-01-04 18:21:00.000,2004-01-04 19:12:00.000,LFE_sm,0.6717164
2004-01-04 23:57:00.000,2004-01-05 02:30:00.000,LFE,0.9148173
2004-01-05 16:15:00.000,2004-01-05 17:06:00.000,LFE,0.7986779
2004-01-06 01:03:00.000,2004-01-06 04:03:00.000,LFE_sm,0.9066816
2004-01-07 09:51:00.000,2004-01-07 13:06:00.000,LFE,0.8952363
2004-01-07 13:15:00.000,2004-01-07 16:33:00.000,LFE,0.8825114
2004-01-07 16:54:00.000,2004-01-07 18:24:00.000,LFE_sm,0.7259762
2004-01-08 06:18:00.000,2004-01-08 10:24:00.000,LFE,0.92235863
2004-01-08 16:03:00.000,2004-01-08 18:03:00.000,LFE,0.91633797
2004-01-08 22:00:00.000,2004-01-08 22:45:00.000,LFE,0.8582771
2004-01-09 05:12:00.000,2004-01-09 08:12:00.000,LFE,0.88839406
2004-01-09 15:42:00.000,2004-01-09 17:45:00.000,LFE,0.7605277
2004-01-10 10:54:00.000,2004-01-10 13:54:00.000,LFE,0.90252423
2004-01-10 14:39:00.000,2004-01-10 15:24:00.000,LFE,0.77023226
2004-01-10 20:51:00.000,2004-01-10 21:42:00.000,LFE_sm,0.8533932
2004-01-11 11:00:00.000,2004-01-11 12:36:00.000,LFE,0.9060459
2004-01-11 18:15:00.000,2004-01-11 19:00:00.000,LFE,0.8699723
2004-01-12 05:45:00.000,2004-01-12 10:36:00.000,LFE,0.90431875
2004-01-12 17:54:00.000,2004-01-12 20:27:00.000,LFE,0.8965228
2004-01-13 03:06:00.000,2004-01-13 07:36:00.000,LFE,0.8884308
2004-01-14 00:00:00.000,2004-01-14 01:36:00.000,LFE_sm,0.89190656
2004-01-14 01:45:00.000,2004-01-14 02:30:00.000,LFE,0.837629
2004-01-14 02:36:00.000,2004-01-14 05:21:00.000,LFE,0.8816886
2004-01-14 12:09:00.000,2004-01-14 13:51:00.000,LFE_sm,0.8415047
2004-01-14 14:48:00.000,2004-01-14 15:45:00.000,LFE,0.8107482
2004-01-15 11:06:00.000,2004-01-15 13:51:00.000,LFE,0.87867814
2004-01-15 21:57:00.000,2004-01-16 00:12:00.000,LFE,0.86569583
2004-01-16 08:15:00.000,2004-01-16 12:03:00.000,LFE,0.92377007
2004-01-16 18:42:00.000,2004-01-16 21:12:00.000,LFE,0.79021245
2004-01-17 05:39:00.000,2004-01-17 10:36:00.000,LFE,0.91185415
2004-01-17 10:54:00.000,2004-01-17 12:00:00.000,LFE,0.7305557
2004-01-17 16:51:00.000,2004-01-17 20:21:00.000,LFE,0.85023135
2004-01-26 09:15:00.000,2004-01-26 09:45:00.000,LFE_sm,0.8144249
2004-01-26 11:18:00.000,2004-01-26 18:12:00.000,LFE,0.9035457
2004-01-26 18:18:00.000,2004-01-26 18:51:00.000,LFE_sm,0.79345423
2004-01-26 19:39:00.000,2004-01-26 20:12:00.000,LFE_sm,0.76731235
2004-01-26 23:18:00.000,2004-01-27 00:24:00.000,LFE,0.89524496
2004-01-27 00:57:00.000,2004-01-27 02:00:00.000,LFE,0.8214795
2004-01-27 19:42:00.000,2004-01-28 03:24:00.000,LFE,0.9171506
2004-01-28 19:03:00.000,2004-01-28 19:54:00.000,LFE,0.8229543
2004-01-29 07:18:00.000,2004-01-29 11:06:00.000,LFE,0.9164854
2004-01-29 19:36:00.000,2004-01-29 22:24:00.000,LFE,0.83542836
2004-01-31 00:12:00.000,2004-01-31 01:57:00.000,LFE_sm,0.84555054
2004-01-31 02:03:00.000,2004-01-31 05:15:00.000,LFE_sm,0.8658007
2004-01-31 05:21:00.000,2004-01-31 07:09:00.000,LFE,0.8193521
2004-01-31 12:45:00.000,2004-01-31 18:15:00.000,LFE,0.89213634
2004-02-02 16:33:00.000,2004-02-02 19:36:00.000,LFE,0.91506445
2004-02-02 19:45:00.000,2004-02-02 20:51:00.000,LFE,0.84711975
2004-02-02 22:15:00.000,2004-02-03 00:00:00.000,LFE,0.8406165
2004-02-03 15:12:00.000,2004-02-03 17:36:00.000,LFE,0.91963065
2004-02-04 00:57:00.000,2004-02-04 04:33:00.000,LFE,0.88730586
2004-02-04 04:51:00.000,2004-02-04 06:36:00.000,LFE,0.88911575
2004-02-04 06:48:00.000,2004-02-04 10:00:00.000,LFE,0.89819294
2004-02-04 10:06:00.000,2004-02-04 10:51:00.000,LFE_sm,0.85594755
2004-02-04 13:12:00.000,2004-02-04 14:24:00.000,LFE,0.8975497
2004-02-04 14:30:00.000,2004-02-04 19:27:00.000,LFE,0.9026618
2004-02-06 07:27:00.000,2004-02-06 12:36:00.000,LFE,0.9133959
2004-02-06 12:45:00.000,2004-02-07 02:33:00.000,LFE_m,0.9103205
2004-02-07 07:00:00.000,2004-02-07 11:21:00.000,LFE,0.92163527
2004-02-07 11:27:00.000,2004-02-07 12:15:00.000,LFE,0.8074202
2004-02-07 13:36:00.000,2004-02-07 23:18:00.000,LFE,0.8831484
2004-02-13 03:42:00.000,2004-02-13 08:12:00.000,LFE,0.8960261
2004-02-17 06:15:00.000,2004-02-17 07:06:00.000,LFE,0.8636735
2004-02-19 16:39:00.000,2004-02-19 18:00:00.000,LFE,0.8592953
2004-02-19 18:09:00.000,2004-02-19 22:09:00.000,LFE,0.92017657
2004-02-20 03:36:00.000,2004-02-20 12:39:00.000,LFE,0.9360521
2004-02-20 13:09:00.000,2004-02-20 21:42:00.000,LFE,0.9173858
2004-02-20 21:51:00.000,2004-02-20 22:33:00.000,LFE_sm,0.8781691
2004-02-21 01:30:00.000,2004-02-21 09:09:00.000,LFE,0.9342502
2004-02-21 09:18:00.000,2004-02-21 23:03:00.000,LFE_m,0.9136651
2004-02-22 14:00:00.000,2004-02-22 18:42:00.000,LFE,0.92999625
2004-02-22 20:57:00.000,2004-02-23 04:48:00.000,LFE,0.9091068
2004-02-23 09:12:00.000,2004-02-23 15:00:00.000,LFE,0.89511573
2004-02-23 19:12:00.000,2004-02-24 02:12:00.000,LFE,0.91155833
2004-02-24 10:12:00.000,2004-02-24 12:00:00.000,LFE,0.76405966
2004-02-26 01:21:00.000,2004-02-26 03:48:00.000,LFE,0.87736183
2004-02-26 12:15:00.000,2004-02-26 15:12:00.000,LFE,0.88797903
2004-02-26 15:30:00.000,2004-02-26 17:21:00.000,LFE,0.8942211
2004-02-26 22:57:00.000,2004-02-27 03:24:00.000,LFE,0.8623637
2004-02-27 09:30:00.000,2004-02-27 12:15:00.000,LFE,0.861382
2004-02-27 19:03:00.000,2004-02-27 22:03:00.000,LFE,0.9164433
2004-02-28 08:42:00.000,2004-02-28 09:33:00.000,LFE,0.9214867
2004-02-28 17:12:00.000,2004-02-28 22:39:00.000,LFE,0.8844369
2004-02-29 14:48:00.000,2004-02-29 17:33:00.000,LFE,0.8807994
2004-02-29 17:30:00.000,2004-02-29 22:03:00.000,LFE,0.89089465
2004-03-05 03:24:00.000,2004-03-05 04:03:00.000,LFE_sm,0.82545197
2004-03-05 03:57:00.000,2004-03-05 08:48:00.000,LFE,0.89907956
2004-03-05 12:03:00.000,2004-03-05 13:00:00.000,LFE,0.7873541
2004-03-05 13:15:00.000,2004-03-06 18:42:00.000,LFE_m,0.9042571
2004-03-07 11:06:00.000,2004-03-07 14:39:00.000,LFE,0.88159794
2004-03-07 19:54:00.000,2004-03-07 23:06:00.000,LFE,0.9334277
2004-03-08 19:00:00.000,2004-03-09 04:27:00.000,LFE,0.8935084
2004-03-09 10:27:00.000,2004-03-09 16:24:00.000,LFE,0.8428056
2004-03-09 21:57:00.000,2004-03-10 01:03:00.000,LFE,0.8838889
2004-03-10 23:21:00.000,2004-03-11 02:36:00.000,LFE,0.9305143
2004-03-11 20:39:00.000,2004-03-11 22:42:00.000,LFE,0.86869496
2004-03-11 22:54:00.000,2004-03-12 00:30:00.000,LFE,0.871556
2004-03-12 17:54:00.000,2004-03-13 00:12:00.000,LFE,0.9153984
2004-03-13 02:51:00.000,2004-03-13 09:36:00.000,LFE,0.88922375
2004-03-13 17:06:00.000,2004-03-13 18:36:00.000,LFE,0.8509591
2004-03-13 18:45:00.000,2004-03-13 19:51:00.000,LFE_sm,0.8161501
2004-03-14 13:42:00.000,2004-03-14 15:15:00.000,LFE,0.91367996
2004-03-14 16:03:00.000,2004-03-14 18:57:00.000,LFE,0.89838815
2004-03-14 22:45:00.000,2004-03-15 02:36:00.000,LFE,0.8028708
2004-03-15 03:21:00.000,2004-03-15 05:09:00.000,LFE_sm,0.7657994
2004-03-15 09:30:00.000,2004-03-15 11:33:00.000,LFE,0.88582426
2004-03-15 11:48:00.000,2004-03-15 12:39:00.000,LFE_sm,0.7879887
2004-03-15 13:06:00.000,2004-03-15 14:39:00.000,LFE,0.75652415
2004-03-16 01:21:00.000,2004-03-16 02:54:00.000,LFE,0.83149236
2004-03-16 07:12:00.000,2004-03-16 09:51:00.000,LFE,0.89826053
2004-03-16 09:57:00.000,2004-03-16 12:30:00.000,LFE,0.8591588
2004-03-16 20:15:00.000,2004-03-16 21:48:00.000,LFE,0.84426033
2004-03-16 22:03:00.000,2004-03-16 22:33:00.000,LFE,0.7565542
2004-03-17 06:15:00.000,2004-03-17 10:54:00.000,LFE,0.9081072
2004-03-17 15:21:00.000,2004-03-17 22:06:00.000,LFE,0.92075783
2004-03-18 02:18:00.000,2004-03-18 07:21:00.000,LFE,0.9071115
2004-03-19 00:36:00.000,2004-03-19 05:00:00.000,LFE,0.8955932
2004-03-19 10:39:00.000,2004-03-19 14:03:00.000,LFE,0.8782912
2004-03-20 01:06:00.000,2004-03-20 03:42:00.000,LFE_sm,0.84710336
2004-03-20 05:12:00.000,2004-03-20 13:36:00.000,LFE,0.91798866
2004-03-21 11:24:00.000,2004-03-21 12:39:00.000,LFE,0.8392217
2004-03-21 12:42:00.000,2004-03-21 13:51:00.000,LFE,0.8169055
2004-03-21 16:39:00.000,2004-03-21 17:27:00.000,LFE,0.7787628
2004-03-21 17:15:00.000,2004-03-22 10:27:00.000,LFE_m,0.9057832
2004-03-22 19:45:00.000,2004-03-22 20:21:00.000,LFE_sm,0.7158095
2004-03-22 20:27:00.000,2004-03-23 00:12:00.000,LFE,0.84249145
2004-03-23 02:18:00.000,2004-03-23 03:06:00.000,LFE_sm,0.7371281
2004-03-23 03:36:00.000,2004-03-23 15:06:00.000,LFE_m,0.896701
2004-03-23 15:06:00.000,2004-03-23 19:57:00.000,LFE,0.8854529
2004-03-23 22:27:00.000,2004-03-24 00:36:00.000,LFE,0.8834394
2004-03-24 00:54:00.000,2004-03-24 04:30:00.000,LFE,0.92259187
2004-03-28 23:51:00.000,2004-03-29 02:21:00.000,LFE,0.8411263
2004-03-29 18:42:00.000,2004-03-30 02:09:00.000,LFE,0.9077943
2004-03-30 05:51:00.000,2004-03-30 12:48:00.000,LFE,0.84235466
2004-03-30 16:57:00.000,2004-03-30 19:33:00.000,LFE,0.9160531
2004-03-30 19:57:00.000,2004-03-30 20:48:00.000,LFE,0.91117465
2004-03-30 22:54:00.000,2004-03-31 00:06:00.000,LFE,0.920245
2004-03-31 07:48:00.000,2004-03-31 10:45:00.000,LFE,0.8248972
2004-03-31 18:24:00.000,2004-03-31 21:42:00.000,LFE,0.88762623
2004-04-02 01:21:00.000,2004-04-02 04:21:00.000,LFE,0.86387503
2004-04-05 13:12:00.000,2004-04-05 19:12:00.000,LFE,0.8665286
2004-04-05 23:24:00.000,2004-04-06 02:45:00.000,LFE,0.9130021
2004-04-06 23:48:00.000,2004-04-07 00:39:00.000,LFE_sm,0.902304
2004-04-07 11:06:00.000,2004-04-07 12:45:00.000,LFE,0.8487861
2004-04-07 22:27:00.000,2004-04-08 00:00:00.000,LFE,0.825755
2004-04-08 05:18:00.000,2004-04-08 09:51:00.000,LFE,0.91581947
2004-04-09 04:03:00.000,2004-04-09 07:24:00.000,LFE,0.9456796
2004-04-09 12:57:00.000,2004-04-09 14:15:00.000,LFE,0.8084986
2004-04-09 14:39:00.000,2004-04-09 18:51:00.000,LFE,0.89147145
2004-04-09 23:21:00.000,2004-04-10 05:18:00.000,LFE,0.92397344
2004-04-10 10:39:00.000,2004-04-10 17:15:00.000,LFE,0.9265766
2004-04-10 23:12:00.000,2004-04-11 03:42:00.000,LFE,0.92215544
2004-04-11 07:21:00.000,2004-04-11 07:51:00.000,LFE_sm,0.80444336
2004-04-11 07:57:00.000,2004-04-11 13:12:00.000,LFE,0.92378736
2004-04-11 22:09:00.000,2004-04-11 23:54:00.000,LFE_sm,0.7721992
2004-04-16 14:33:00.000,2004-04-16 15:36:00.000,LFE_sm,0.81771445
2004-04-16 17:24:00.000,2004-04-16 18:30:00.000,LFE_sm,0.7551725
2004-04-16 18:51:00.000,2004-04-16 23:54:00.000,LFE,0.8920243
2004-04-17 02:21:00.000,2004-04-17 04:57:00.000,LFE,0.85386646
2004-04-18 05:00:00.000,2004-04-18 06:45:00.000,LFE,0.88247466
2004-04-20 09:27:00.000,2004-04-21 00:27:00.000,LFE_m,0.92310447
2004-04-21 04:27:00.000,2004-04-21 08:15:00.000,LFE,0.90280515
2004-04-23 03:00:00.000,2004-04-23 05:18:00.000,LFE,0.8093312
2004-04-23 22:15:00.000,2004-04-24 04:03:00.000,LFE,0.8366344
2004-04-24 19:03:00.000,2004-04-25 01:42:00.000,LFE,0.88428396
2004-04-25 06:03:00.000,2004-04-25 11:39:00.000,LFE,0.89707714
2004-04-25 17:15:00.000,2004-04-25 21:15:00.000,LFE,0.8453616
2004-04-26 15:39:00.000,2004-04-26 21:18:00.000,LFE,0.8658622
2004-04-26 22:24:00.000,2004-04-27 00:12:00.000,LFE_sm,0.807122
2004-04-27 01:36:00.000,2004-04-27 02:27:00.000,LFE_sm,0.8600707
2004-04-27 11:48:00.000,2004-04-27 14:03:00.000,LFE_sm,0.88166064
2004-04-27 15:42:00.000,2004-04-28 07:06:00.000,LFE_m,0.9224955
2004-04-28 11:51:00.000,2004-04-28 14:00:00.000,LFE,0.8023296
2004-04-28 17:45:00.000,2004-04-28 22:15:00.000,LFE,0.89254683
2004-04-29 09:06:00.000,2004-04-29 12:06:00.000,LFE,0.88489145
2004-04-30 17:12:00.000,2004-05-01 08:33:00.000,LFE_m,0.9000854
2004-05-02 21:00:00.000,2004-05-03 00:30:00.000,LFE_sm,0.778205
2004-05-05 03:24:00.000,2004-05-05 05:09:00.000,LFE_sm,0.71976036
2004-05-06 00:57:00.000,2004-05-06 03:48:00.000,LFE,0.8568168
2004-05-06 20:39:00.000,2004-05-07 03:18:00.000,LFE,0.893578
2004-05-07 10:39:00.000,2004-05-07 12:18:00.000,LFE_sm,0.74861574
2004-05-07 12:33:00.000,2004-05-07 13:45:00.000,LFE_sm,0.76264495
2004-05-08 07:42:00.000,2004-05-08 12:00:00.000,LFE,0.92393494
2004-05-08 18:39:00.000,2004-05-08 21:39:00.000,LFE,0.7765132
2004-05-09 05:36:00.000,2004-05-09 09:30:00.000,LFE_sm,0.7854818
2004-05-09 16:36:00.000,2004-05-09 20:51:00.000,LFE,0.8891681
2004-05-12 08:03:00.000,2004-05-12 11:42:00.000,LFE_sm,0.82647616
2004-05-12 18:33:00.000,2004-05-12 22:03:00.000,LFE,0.7380745
2004-05-13 15:27:00.000,2004-05-13 19:51:00.000,LFE_sm,0.8575238
2004-05-13 21:21:00.000,2004-05-13 23:42:00.000,LFE,0.93585765
2004-05-13 23:57:00.000,2004-05-14 01:12:00.000,LFE,0.8579305
