,start,end,x_ksm,y_ksm,z_ksm,duration,Range (RS),LocalTime (hr),Latitute (deg)
0,2004-01-01 14:30:00.000,2004-01-01 16:03:00.000,661.9344275830113,-1278.4648452063168,-133.75436431413337,5580.0,1445.8629868770893,7.524166666666667,-19.815590294750105
1,2004-01-02 05:06:00.000,2004-01-02 10:42:00.000,659.3086061562077,-1274.5767006631224,-133.99720648423715,20160.0,1441.24559162223,7.5225,-19.81524380427954
2,2004-01-02 21:42:00.000,2004-01-03 03:03:00.000,656.3270854197916,-1270.2506106001103,-133.34786842563,19260.0,1435.9956513859122,7.520555555555555,-19.814847278313
3,2004-01-03 23:39:00.000,2004-01-04 01:18:00.000,651.6749999515655,-1263.3568728915848,-133.52611899909283,5940.0,1427.7885411710083,7.517777777777778,-19.81422287163374
4,2004-01-04 01:39:00.000,2004-01-04 08:09:00.000,651.3169067357506,-1262.8458718821248,-133.3447793583619,23400.0,1427.1559968383556,7.5175,-19.81417458617119
5,2004-01-04 18:21:00.000,2004-01-04 19:12:00.000,648.3293533519102,-1258.444778212761,-133.0860268040446,3060.0,1421.8741508161538,7.515555555555555,-19.81377097764338
6,2004-01-04 23:57:00.000,2004-01-05 02:30:00.000,647.3285462326202,-1256.9732651965842,-132.95235142106512,9180.0,1420.102941316224,7.515,-19.81363562115976
7,2004-01-05 16:15:00.000,2004-01-05 17:06:00.000,644.4183509389196,-1252.65091204508,-132.91551706674423,3060.0,1414.947296951843,7.513055555555556,-19.81324173593607
8,2004-01-06 01:03:00.000,2004-01-06 04:03:00.000,642.8489949188255,-1250.35139246763,-132.5636400077979,10800.0,1412.1637842566288,7.512222222222222,-19.81302910248071
9,2004-01-07 09:51:00.000,2004-01-07 16:33:00.000,637.0106811290699,-1241.6634686267753,-132.28275552259058,24120.0,1401.7879670632951,7.508333333333334,-19.81224087223508
10,2004-01-07 16:54:00.000,2004-01-07 18:24:00.000,635.7580583983831,-1239.8107478021043,-132.06962225725997,5400.0,1399.5575673430767,7.5075,-19.81207295596419
11,2004-01-08 06:18:00.000,2004-01-08 10:24:00.000,633.3793812786314,-1236.2595757766032,-131.92826939288074,14760.0,1395.3179736508985,7.506111111111111,-19.811755615626144
12,2004-01-08 16:03:00.000,2004-01-08 18:03:00.000,631.650431526466,-1233.6836001772538,-131.73882411311487,7200.0,1392.2329585139792,7.505,-19.811526621217496
13,2004-01-08 22:00:00.000,2004-01-08 22:45:00.000,630.5960652293578,-1232.062760674739,-132.07428957067407,2700.0,1390.350193904329,7.504166666666666,-19.811387902027565
14,2004-01-09 05:12:00.000,2004-01-09 08:12:00.000,629.32092719517,-1230.1674614978033,-131.8575523773703,10800.0,1388.0717657429277,7.503333333333333,-19.811221203924383
15,2004-01-09 15:42:00.000,2004-01-09 17:45:00.000,627.4627723754644,-1227.3847287476706,-131.70594832354445,7380.0,1384.748807511276,7.502222222222223,-19.810980476123163
16,2004-01-10 10:54:00.000,2004-01-10 13:54:00.000,624.0693044823126,-1222.3150972785693,-131.2216960466386,10800.0,1378.6717620033828,7.5,-19.81054766520369
